name,sex,event,age,bodyweightkg,weightclasskg,best3squatkg,best3benchkg,best3deadliftkg,totalkg,date
Anna Sørlie Heranger,F,SBD,24.0,82.7,84,145.0,90.0,165.0,400.0,2016-10-07
Lene Thorén,F,SBD,35.5,118.1,84+,170.0,87.5,167.5,425.0,2016-10-07
Hans-Erik Folkeseth,M,SBD,26.5,64.55,66,190.0,125.0,240.0,555.0,2016-10-07
Jøran Langset,M,SBD,38.5,72.65,74,223.0,127.5,255.0,605.5,2016-10-07
Yngve Hopen,M,SBD,31.5,72.75,74,187.5,117.5,250.0,555.0,2016-10-07
Ole Martin Hofseth,M,SBD,22.5,73.2,74,195.0,142.5,200.0,537.5,2016-10-07
Chido Nnoli,M,SBD,18.5,81.05,83,220.0,120.0,265.0,605.0,2016-10-07
Anders Joakim Halland,M,SBD,23.5,81.9,83,212.5,132.5,250.0,595.0,2016-10-07
Jacob Florelius,M,SBD,17.5,82.7,83,190.0,135.0,230.0,555.0,2016-10-07
Knut Martin Haraldsen,M,SBD,21.5,91.75,93,250.0,200.0,270.0,720.0,2016-10-07
Erik Elvsvingen,M,SBD,25.5,91.45,93,245.0,157.5,270.0,672.5,2016-10-07
Helge Hansen,M,SBD,36.5,88.75,93,222.5,150.0,255.0,627.5,2016-10-07
Trond Borgli,M,SBD,37.5,93.0,93,200.0,180.0,200.0,580.0,2016-10-07
Bjørn Gunnar Johansen,M,SBD,44.5,103.65,105,260.0,200.0,285.0,745.0,2016-10-07
Truls Moe,M,SBD,27.5,103.3,105,240.0,160.0,280.0,680.0,2016-10-07
Kristoffer Alnes Reite,M,SBD,21.5,100.3,105,235.0,185.0,225.0,645.0,2016-10-07
Even Bless Liland,M,SBD,24.5,119.2,120,265.0,215.5,315.0,795.5,2016-10-07
Bjarte Vik Larsen,M,SBD,21.5,119.45,120,287.5,202.5,302.5,792.5,2016-10-07
Vidar Johansen,M,SBD,51.5,109.5,120,255.0,170.0,260.0,685.0,2016-10-07
Georg Øksendal,M,SBD,42.5,118.5,120,225.0,170.0,240.0,635.0,2016-10-07
Lars S. Kirkebøen,M,SBD,33.5,145.6,120+,300.0,175.0,340.0,815.0,2016-10-07
Erik Røen,M,SBD,19.5,131.25,120+,287.5,172.5,315.0,775.0,2016-10-07
Trygve Sletten,M,SBD,26.5,86.35,93,260.0,165.0,310.0,735.0,2020-03-07
Manuela Pischel-Bakker,F,SBD,39.0,59.0,63,112.5,72.5,120.0,305.0,2016-12-22
Malin Narum Kvamsdal,F,SBD,24.5,52.0,52,105.0,70.0,112.5,287.5,2019-09-07
Geir Arne Giseth,M,SBD,52.5,119.8,120,242.5,167.5,280.0,690.0,2019-09-07
Ruth Sandbak Berge,F,SBD,18.5,59.7,63,85.0,40.0,105.0,230.0,2014-04-05
Sunniva Nordskog,F,SBD,27.5,56.6,57,95.0,65.0,145.0,305.0,2014-04-05
Geir Arne Giseth,M,SBD,47.5,138.6,120+,260.0,190.0,320.5,770.5,2014-04-05
Jarle Aaberg,M,SBD,55.5,104.2,105,207.5,160.0,232.5,600.0,2014-04-05
Bengt Eide-Olsen,M,SBD,52.5,105.7,120,205.5,152.5,230.0,588.0,2014-04-05
Bård Arve Havnerås,M,SBD,51.5,114.0,120,180.0,172.5,210.0,562.5,2014-04-05
Irene Johansen,F,SBD,47.5,62.9,63,82.5,57.5,130.0,270.0,2016-03-15
Hege Henriksen Bubandt,F,SBD,54.5,56.0,57,75.0,45.0,115.0,235.0,2016-03-15
Karoline Tanche-Larsen,F,SBD,20.5,78.55,84,132.5,75.0,145.0,352.5,2016-12-10
Eirin Herland,F,SBD,47.0,90.7,84+,115.0,67.5,127.5,310.0,2016-12-10
Marton Hodnefjell,M,SBD,20.5,78.1,83,150.0,125.0,200.0,475.0,2016-12-10
Tarald Knudsen Øvrebø,M,SBD,20.5,95.85,105,220.0,160.0,270.0,650.0,2016-12-10
Stine Liverød,F,SBD,23.5,79.2,84,127.5,80.0,137.5,345.0,2016-04-09
Jøran Langset,M,SBD,39.5,74.0,74,222.5,127.5,240.0,590.0,2017-12-16
Signe Elisabeth Belden,F,SBD,32.5,62.75,63,125.0,70.0,152.5,347.5,2016-04-10
Christoffer Nygård,M,SBD,26.5,123.6,120+,240.0,150.0,277.5,667.5,2022-12-17
